#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Liberty Baptist Association

",57387309,P.O. Box 7010,El Dorado ,AR,71731,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57387309,httpss://www.arkansasstateparks.com/southarkansasarboretum/,DescriptionThis is a fellowship of Southern Baptist churches reaching south Arkansas that offers community services and a food pantry. ,DescriptionThis is a fellowship of Southern Baptist churches reaching south Arkansas that offers community services and a food pantry. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," South Arkansas Arboretum

",55362880,212 South Jefferson Street,Star City ,AR,71667,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55362880,https://www.missionchoices.com,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Mission Choices of Arkansas

",57699869,3853 Smackover Highway,Smackover ,AR,71762,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57699869,httpss://www.arkansasstateparks.com/museumofnaturalresources/,DescriptionAgency is a nonprofit corporation that seeks to help all Arkansas communities with basic needs.,DescriptionAgency is a nonprofit corporation that seeks to help all Arkansas communities with basic needs.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Arkansas Museum of Natural Resources 

",55180151,Ark Hwy 8,New Edinburg ,AR,71660,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55180151,httpss://www.arkansasstateparks.com/marksmills/,DescriptionAgency is a state park museum. ,DescriptionAgency is a state park museum. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Marks' Mills Battleground

",55320454,406 Pecan Street,Helena ,AR,72342,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55320454,https://www.thefamilycenterinc.com,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," The Family Center

",55924375,201 West 7th Street,Smackover ,AR,71762,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924375,https://fbcsmackover.com/,"DescriptionThe Family Center, Inc. provides a broad range of services that include support groups, individual and family therapy, crisis counseling, assistance with compensation claims, legal advocacy, outreach, follow-up after leaving the shelter, medical and substance abuse advocacy, as well as assistance with personal care, food, clothing, and employment.","DescriptionThe Family Center, Inc. provides a broad range of services that include support groups, individual and family therapy, crisis counseling, assistance with compensation claims, legal advocacy, outreach, follow-up after leaving the shelter, medical and substance abuse advocacy, as well as assistance with personal care, food, clothing, and employment.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," First Baptist Church - Smackover

",57410717,5539 Hwy 49,West Helena ,AR,72390,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57410717,httpss://www.arkansasstateparks.com/deltaheritagetrail/,DescriptionThis agency is a church that provides services to community members. ,DescriptionThis agency is a church that provides services to community members. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Delta Heritage Trail State Park

",55180350,501 North Main Street,Fordyce ,AR,71742,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55180350,N/A,DescriptionAgency is a state park.,DescriptionAgency is a state park.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Fordyce First Baptist Church 

",55924192,1828 Industrial Drive,Fordyce ,AR,71742,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924192,https://www.millcreekbehavioralhealth.com/,DescriptionProvides a food pantry,DescriptionProvides a food pantry,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Millcreek Behavioral Health

",56408187,203 North Clifton Street,Fordyce ,AR,71742,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",56408187,N/A,DescriptionBehavioral Health/ Substance Use Disorder,DescriptionBehavioral Health/ Substance Use Disorder,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," CASA of the North 13th Judicial District

",58786230,2603 Mt Holly Rd,Camden ,AR,71701,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",58786230,httpss://www.facebook.com/CamdenfairviewUMC/,DescriptionCourt Appointed Special Advocates serving abused and neglected children in the North 13th Judicial District of  Arkansas until they reach a safe and permanent home. ,DescriptionCourt Appointed Special Advocates serving abused and neglected children in the North 13th Judicial District of  Arkansas until they reach a safe and permanent home. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Fairview United Methodist Church

",57387934,2500 Rike Drive,Pine Bluff ,AR,71603,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57387934,https://www.sabhs.org,DescriptionThis is a church that provides services to the local community and operates a food pantry. ,DescriptionThis is a church that provides services to the local community and operates a food pantry. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Southeast Arkansas Behavioral Healthcare System, Inc.

",54844049,1116 West Washington Street,Camden ,AR,71701,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54844049,N/A,DescriptionAgency is a community based organization providing behavioral and mental healthcare services.,DescriptionAgency is a community based organization providing behavioral and mental healthcare services.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Women's Crisis Center of South Arkansas

",55924367,AR Hwy 362,Brinkley ,AR,72021,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924367,httpss://www.arkansasstateparks.com/louisianapurchase/,DescriptionDirect client services for survivors of Domestic and Sexual Assault.,DescriptionDirect client services for survivors of Domestic and Sexual Assault.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Louisiana Purchase State Park

",55306460,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55306460,N/A,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Have a Heart Pet Shelter

",55859461,11952 Rally Hill Road,Everton ,AR,72633,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55859461,N/A,DescriptionAgency provides a pet shelter and volunteer opportunities. ,DescriptionAgency provides a pet shelter and volunteer opportunities. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Everton Baptist Church

",55456929,255 County Road 241,Gamaliel ,AR,72537,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55456929,httpss://www.facebook.com/pg/New-Life-Bible-Way-727516273984599/about/?ref=page_internal,DescriptionProgram provides a food pantry,DescriptionProgram provides a food pantry,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," New Life Bibleway Pantry

",55959792,HC 72,Jasper ,AR,72641,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55959792,httpss://www.foodpantries.org/li/newton_county_christian_food_room_72641,DescriptionAgency provides a food bank.,DescriptionAgency provides a food bank.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Newton County Christian Food Room

",55503493,4547 Hog Creek Road,Valley Springs ,AR,72682,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55503493,https://fbcvs.com/,DescriptionProgram provides a food pantry,DescriptionProgram provides a food pantry,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," First Baptist Church Valley Springs

",55924528,10301 Mayo Drive,Barling ,AR,72923,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924528,https://www.valleybehavioral.com,DescriptionAgency provides a food pantry.,DescriptionAgency provides a food pantry.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Valley Behavioral Health System

",54037070,153 Dam Overlook Lane,Bull Shoals ,AR,72619,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037070,httpss://www.arkansasstateparks.com/bullshoalswhiteriver/,"DescriptionProvides inpatient & outpatient treatment services for all ages struggling with depression, bipolar, mental health illnesses & behavioral issues.","DescriptionProvides inpatient & outpatient treatment services for all ages struggling with depression, bipolar, mental health illnesses & behavioral issues.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bull Shoals - White River State Park

",55180120,310 North F Street,Fort Smith ,AR,72901,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55180120,https://www.fscrm.org,DescriptionAgency is a State Park. ,DescriptionAgency is a State Park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Community Rescue Mission

",54037186,4322 Wheeler Avenue,Fort Smith ,AR,72902,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037186,https://www.csclearinghouse.org,DescriptionA nonprofit faith-based organization focused on the homeless children and families in the River Valley area that provides case management and life skills programs.,DescriptionA nonprofit faith-based organization focused on the homeless children and families in the River Valley area that provides case management and life skills programs.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Community Services Clearinghouse

",54036980,1415 North 9th Street,Fort Smith ,AR,72902,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54036980,https://lincolnchildcare.org,"DescriptionAgency provides an emergency food pantry for fixed income elderly, disabled, and cancer patient referrals as well as providing the Back Pack program to public schools in the seven counties we serve. ","DescriptionAgency provides an emergency food pantry for fixed income elderly, disabled, and cancer patient referrals as well as providing the Back Pack program to public schools in the seven counties we serve. ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Lincoln Child Care Center, Inc.

",54037028,1013 Lake Shore Road,Bull Shoals ,AR,72619,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037028,https://www.facebook.com/pg/bullshoalsfoodpantry/about/?ref=page_internal,DescriptionAgency provides childcare and preschool on a sliding scale based on income.,DescriptionAgency provides childcare and preschool on a sliding scale based on income.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bull Shoals Food pantry

",55641082,1218 Central Blvd,Bull Shoals ,AR,72619,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55641082,httpss://l.facebook.com/l.php?u=https%3A%2F%2Fwww.bullshoalslibrary.org%2F&h=ATOMJdriPOrSE_M6LFhyydVVYkzlceyAomza_aZpcKhnxRYTs14nReApnW2wvmrcC5BNHYNpbxFWsTpB_GjtmU2brXu4kgiUtngCl71w7-yVqiMPS6Sr7YwPD8OBQhCpti4i23cOa811BmXB-MU9ONKj3ZQwrJG6R_6NnyYcMmLWsqfg3Hdbvw1L-97n4dR0-mpKp9_DKAhyAg54VNNg2XgcPB25K61d9J4gTxQI0GytdVWMtrtsJSbcAofOUGtiBlsOhDSjBJ3Rcf8ZQLnfbwh_7IYMDctoYhV2s8XYAMHlmCJz1Mtk0Egm6z0uciK1I7IalNp85e_yQns_Us9nErOmo2ne82_QtezRsRcYmtROUTKrOIDO8YwWNHR_DEvP-aL0LxQgU6G137CuNnHDtt6kbXPKSAwB1hIGYczvt2I4tUDmqOhNvze0zrR_3v_KGJamO3AninPQOKjU435ykII,DescriptionAgency provides a food pantry,DescriptionAgency provides a food pantry,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bull Shoals Library

",55845469,7423 US Hwy 271 South,Fort Smith ,AR,72908,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55845469,https://www.earthboundangelsinc.org,DescriptionAgency provides a library.,DescriptionAgency provides a library.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Earthbound Angels, Inc.

",54036993,PO Box 180955,Fort Smith ,AR,72918,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54036993,https://arkansas.bacaworld.org/chapters/united-states/arkansas-state-board/,DescriptionProvides diapers and basic needs items to families and individuals in need.,DescriptionProvides diapers and basic needs items to families and individuals in need.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bikers Against Child Abuse- Arkansas

",53602799,7301 Rogers Avenue,Fort Smith ,AR,72903,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",53602799,N/A,DescriptionBACA members empower abused children to not be afraid,DescriptionBACA members empower abused children to not be afraid,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Mercy Hospitals

",54037037,3111 South 70th Street,Fort Smith ,AR,72903,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037037,https://www.wacgc.org,DescriptionAgency provides a network of medical care facilities.,DescriptionAgency provides a network of medical care facilities.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Western Arkansas Counseling and Guidance Center

",54037074,818 Hwy 62-65/412,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037074,N/A,DescriptionA non-profit community behavioral healthcare provider.,DescriptionA non-profit community behavioral healthcare provider.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Northwest Arkansas Economic Development District 

",54274214,1515 Pioneer Dr,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54274214,https://www.northark.edu/student-and-community-services/HELP/index,DescriptionAgency is committed to help local governments and citizens a regional forum to identify issues and opportunities; and to provide leadership in planning and implementing programs to improve the quality of life in our District,DescriptionAgency is committed to help local governments and citizens a regional forum to identify issues and opportunities; and to provide leadership in planning and implementing programs to improve the quality of life in our District,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Pete's Pantry

",55706823,4081 Highway 7 South,Harrison ,AR,72602,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55706823,https://pfh.org/hra,DescriptionAgency provides a free supplemental food pantry.,DescriptionAgency provides a free supplemental food pantry.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Health resources of Arkansas

",57351247,PO Box 83,Oakland ,AR,72661,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57351247,https://www.gailspets.org/,DescriptionAgency provides a division of preferred family health care.,DescriptionAgency provides a division of preferred family health care.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Gail's Pets Second Chance

",55733994,421 Towson Avenue,Fort Smith ,AR,72901,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55733994,https://www.habitatfs.org,"DescriptionAgency provides a haven for abondened, unwanted, or abused pets.","DescriptionAgency provides a haven for abondened, unwanted, or abused pets.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Arkansas Valley Habitat for Humanity

",54037017,1216 Towson Avenue,Fort Smith ,AR,72901,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037017,https://www.casaofsebastiancounty-org.doodlekit.com,"DescriptionHabitat for Humanity makes low-cost housing available to people who have very low incomes by organizing a group of volunteers to design and construct houses which are then sold at cost and at no interest to individuals who qualify by making a small down payment and investing a specified number of hours of ""sweat equity"" working on the project.","DescriptionHabitat for Humanity makes low-cost housing available to people who have very low incomes by organizing a group of volunteers to design and construct houses which are then sold at cost and at no interest to individuals who qualify by making a small down payment and investing a specified number of hours of ""sweat equity"" working on the project.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," CASA of Sebastian County

",54037181,417 South 16th Street,Fort Smith ,AR,72901,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037181,N/A,DescriptionCourt Appointed Special Advocates serving abused and neglected children in Sebastian County until they reach a safe and permanent home. ,DescriptionCourt Appointed Special Advocates serving abused and neglected children in Sebastian County until they reach a safe and permanent home. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Heart to Heart Pregnancy Support Center

",54037023,PO Box 423,Fort Smith ,AR,72901,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037023,httpss://helptoread.weebly.com/,"DescriptionProvides counseling, guidance and assistance on a one to one basis to women who are concerned about pregnancy. The agency provides free pregnancy testing, financial assistance and assistance with living arrangements during and after pregnancy. ","DescriptionProvides counseling, guidance and assistance on a one to one basis to women who are concerned about pregnancy. The agency provides free pregnancy testing, financial assistance and assistance with living arrangements during and after pregnancy. ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Literacy Council of Western Arkansas

",54037030,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54037030,https://www.casaofcrawfordcounty.com/,"DescriptionProvides tutoring in Adult Basic Education, Citizenship Classes, and English as a Second Language","DescriptionProvides tutoring in Adult Basic Education, Citizenship Classes, and English as a Second Language",N/A,N/A
