#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email,Short Code
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, Casa San Francisco Emergency Food Pantry - Sussex County",(302) 684-8694,127 Broad Street,Milton,DE,19968,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 684-8694,https://www.ccwilm.org,Catholic Charities operates an emergency food pantry at its Casa San Francisco location to help families in crisis with food distributions.,Catholic Charities operates an emergency food pantry at its Casa San Francisco location to help families in crisis with food distributions.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, Casa San Francisco Hope Food Cooperative - Sussex County",N/A,2601 West 4th Street,Wilmington,DE,19805,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",N/A,https://www.ccwilm.org,Emergency food distribution atÂ no charge. Cooperative members are asked for a $7.00 a month donation for the cooperative brown bag food program.,Emergency food distribution atÂ no charge. Cooperative members are asked for a $7.00 a month donation for the cooperative brown bag food program.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, Child & Adult Food Care  Program - New Castle County",(302) 655-9624,2099 South Dupont Highway,Dover,DE,19901,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 655-9624,https://www.ccwilm.org,Provides nutrition education to licensed daycare providers and centers and provides reimbursement for food costs.,Provides nutrition education to licensed daycare providers and centers and provides reimbursement for food costs.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, Child & Adult Food Care Program",(302) 674-1600,406 South Bedford Street,Georgetown,DE,19947,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 674-1600,https://www.ccwilm.org,Provides nutrition education to licensed daycare providers and provides reimbursement for food costs.,Provides nutrition education to licensed daycare providers and provides reimbursement for food costs.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, Child & Adult Food Care Program - Sussex County",(302) 856-3414,1320 E 23rd Street,Wilmington,DE,19802,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 856-3414,https://www.ccwilm.org,"Provide nutrition education to licensed day care providers and centers, and provides reimbursement for food costs.","Provide nutrition education to licensed day care providers and centers, and provides reimbursement for food costs.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Catholic Charities, New Castle County Food Cooperative",(302) 764-2717,809 Washington Street,Wilmington,DE,19801,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 764-2717,https://www.cffde.org,"Catholic Charities operates a food cooperative in New Castle County, located at its Wilmington Thrift Store, forÂ Â  low-income families who are qualified for membership. Members receive monthly distributions at an approximate value of $35-$50. A freewill donation is always welcomed.Â ","Catholic Charities operates a food cooperative in New Castle County, located at its Wilmington Thrift Store, forÂ Â  low-income families who are qualified for membership. Members receive monthly distributions at an approximate value of $35-$50. A freewill donation is always welcomed.Â ",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Children & Families First,  Early Care and Education",(302) 658-5177,149 Mitchell Street,Millsboro,DE,19966,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 658-5177,https://stmarksmillsboro.org/outreach/storehouse.html,Early Care and Education Department administers a variety of programs that increase the supply and improve the quality of child care. Child and Adult Care Food Program (CACFP): assures that children in licensed child care receive nutritionally balanced meals by reimbursing child care providers for serving meals that follow the guidelines for the USDA. There are assigned food monitors which provide training for participating providers and visit each site 3 times per year. Delaware Stars for Early Success: is a 5 level quality rating and improvement system. Star Level 1 which is the lowest level requires an early childhood program to meet Child Care Licensing Regulations. Delaware Stars is designed as a voluntary system that expects programs to work on improving quality by moving up the Star levels. Delaware Stars provides technical assistance and limited financial support to programs involved in Stars as they engage in quality improvement efforts.,Early Care and Education Department administers a variety of programs that increase the supply and improve the quality of child care. Child and Adult Care Food Program (CACFP): assures that children in licensed child care receive nutritionally balanced meals by reimbursing child care providers for serving meals that follow the guidelines for the USDA. There are assigned food monitors which provide training for participating providers and visit each site 3 times per year. Delaware Stars for Early Success: is a 5 level quality rating and improvement system. Star Level 1 which is the lowest level requires an early childhood program to meet Child Care Licensing Regulations. Delaware Stars is designed as a voluntary system that expects programs to work on improving quality by moving up the Star levels. Delaware Stars provides technical assistance and limited financial support to programs involved in Stars as they engage in quality improvement efforts.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Christian Storehouse,(302) 934-8189,3301 Green Street,Claymont,DE,19703,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 934-8151,https://www.claymontcenter.org,"Christian Storehouse provides goods and services to low income, needy residents of the Â Georgetown, Millsboro, Lewes, Rehoboth, Bethany, Fenwick, Selbyville, Gumboro, Frankford, and Dagsboro area.*Operates a food closet for those in need of emergency food in the 19966 zip code area only*Furniture, clothing, and housewares are sold at reasonable prices, sometimes donated.Limited financial assistance available for rent, electric, fuel, and prescriptions. Must have disconnect notice for electric and eviction notice for rent assistance.","Christian Storehouse provides goods and services to low income, needy residents of the Â Georgetown, Millsboro, Lewes, Rehoboth, Bethany, Fenwick, Selbyville, Gumboro, Frankford, and Dagsboro area.*Operates a food closet for those in need of emergency food in the 19966 zip code area only*Furniture, clothing, and housewares are sold at reasonable prices, sometimes donated.Limited financial assistance available for rent, electric, fuel, and prescriptions. Must have disconnect notice for electric and eviction notice for rent assistance.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Claymont Community Center, Food Closet",(302) 375-0436,Claymont Community Center,Claymont,DE,19703,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 792-2757,https://de.gov/wic,"All requests for food are by APPOINTMENT ONLY and the following required documentation is necessary:1.Â  Picture ID, Birth CertificatesÂ for all household members -- A MUST.Â  Medicaid Card for children acceptable.2.Â  Verification of address (Lease/Electric Bill, etc.)3.Â  Referral from an agency Case Manager/State Service Center.Â Â Â Â 4.Â  Referrals must show INCOME OF ALL ADULTS INÂ Â Â Â  HOUSEHOLD OVER 19 -- YOU MUST HAVE ALL INCOMEÂ Â Â Â  VERIFICATION IN ORDER TO BE SERVED!!Â  THERE WILLÂ Â Â Â  BE NO EXCEPTIONS MADE UNLESS APPROVED BY THEÂ Â Â Â  CRISIS MANAGER, FOOD CLOSET COORDINATOR, ORÂ Â Â Â  PROGRAM DIRECTOR.","All requests for food are by APPOINTMENT ONLY and the following required documentation is necessary:1.Â  Picture ID, Birth CertificatesÂ for all household members -- A MUST.Â  Medicaid Card for children acceptable.2.Â  Verification of address (Lease/Electric Bill, etc.)3.Â  Referral from an agency Case Manager/State Service Center.Â Â Â Â 4.Â  Referrals must show INCOME OF ALL ADULTS INÂ Â Â Â  HOUSEHOLD OVER 19 -- YOU MUST HAVE ALL INCOMEÂ Â Â Â  VERIFICATION IN ORDER TO BE SERVED!!Â  THERE WILLÂ Â Â Â  BE NO EXCEPTIONS MADE UNLESS APPROVED BY THEÂ Â Â Â  CRISIS MANAGER, FOOD CLOSET COORDINATOR, ORÂ Â Â Â  PROGRAM DIRECTOR.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Claymont State Service Center, Women, Infants & Children",(302) 283-7557,248 E. Chestnut Hill Rd.,Newark,DE,19713,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",302-283-7540,https://www.cchfoundation.net,"WIC (Women, Infants and Children) program provides nutrition education and supplemental food benefits for foodsÂ  high in nutritional value for those who meet eligibility requirements.","WIC (Women, Infants and Children) program provides nutrition education and supplemental food benefits for foodsÂ  high in nutritional value for those who meet eligibility requirements.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Compassionate Care Hospice Foundation, Incorporated",(302) 368-8744,19 Lambson Lane,New Castle,DE,19720,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 368-8944,https://rosehillcommunitycenter.org,"Compassionate Care Hospice FoundationÂ helps hospice patients in serious financial need with life's basics: rent, food, utilities, and comfort items when possible.","Compassionate Care Hospice FoundationÂ helps hospice patients in serious financial need with life's basics: rent, food, utilities, and comfort items when possible.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Delawarr Senior Center,(302) 656-6246,DeLaWarr State Service Center,New Castle,DE,19720,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 429-0581,https://www.state.de.us/dhss/dssc/delawarr.htm,"Delawarr Senior Center provides daily hot noon meal, arts and crafts, guest speakers, films, shopping and recreation trips, counseling, transportation, physical fitness program, legal aid, Social Security assistance, health tests for seniors, monthly blood pressure, free flu shots, check-ups, tax assistance, sports, and information & referral. Holds bazaars. Bible study classes and line dancing/exercise are also offered.","Delawarr Senior Center provides daily hot noon meal, arts and crafts, guest speakers, films, shopping and recreation trips, counseling, transportation, physical fitness program, legal aid, Social Security assistance, health tests for seniors, monthly blood pressure, free flu shots, check-ups, tax assistance, sports, and information & referral. Holds bazaars. Bible study classes and line dancing/exercise are also offered.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",DeLaWarr State Service Center,302-622-4501,13724 South Old State Road,Ellendale,DE,19941,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",302-622-4500,https://delmarvaclergyinc.org,"	DeLaWarr State Service Center houses various state and private human service programs including: Public Health (childen dental clinic); Social Services and Emmanuel Dining Room South. 	The Services this State Service Center provides include, holiday food baskets, low-income dental transportation for children, emergency assistance, Community Resource Assistance Services.	DeLaWarr State Service Center has a clothing closet and a food closetÂ for those in need of emergency food. (Referrals are provided to area food closets.)","	DeLaWarr State Service Center houses various state and private human service programs including: Public Health (childen dental clinic); Social Services and Emmanuel Dining Room South. 	The Services this State Service Center provides include, holiday food baskets, low-income dental transportation for children, emergency assistance, Community Resource Assistance Services.	DeLaWarr State Service Center has a clothing closet and a food closetÂ for those in need of emergency food. (Referrals are provided to area food closets.)",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Delmarva Clergy, Food Closet",(302) 422-6848,"35 Commerce Way, Suite 1",Dover,DE,19904,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 422-2350,https://www.doe.k12.de.us,Operates a food closet and soup kitchen for those in need of emergency food.Food closet is open on the fourth Monday of every month from 2:00pm until 4:00pm.The soup kitchen serves hot meals three days a week from 11:00am until 1:00pm.Â  Call for specific days.,Operates a food closet and soup kitchen for those in need of emergency food.Food closet is open on the fourth Monday of every month from 2:00pm until 4:00pm.The soup kitchen serves hot meals three days a week from 11:00am until 1:00pm.Â  Call for specific days.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Department of Education, Summer Food Service Program",(302) 857-3356,N/A,N/A,N/A,N/A,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 857-3356,N/A,"The Summer Food Service Program provides free nutritious meals and snacks to children up to age 18 during the summer vacation. Most sites serve 2 meals a day, some sites may serve meals on weekends.","The Summer Food Service Program provides free nutritious meals and snacks to children up to age 18 during the summer vacation. Most sites serve 2 meals a day, some sites may serve meals on weekends.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Division of Public Health, Community Environmental Health Services, Office of Food Protection",(302) 744-4736,258 Chapman Road,Newark,DE,19702,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 744-4736,https://dhss.delaware.gov,Office of Food Protection,Office of Food Protection,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Division of Public Health, Environmental Health Field Services - New Castle County",(302) 283-7111,Thomas Collins Building,Dover,DE,19901,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 283-7110,https://dhss.delaware.gov,"This program performs health inspections, issues permits and complaint investigations of retail food establishments, (including restaurants), retail ice manufacturers, recreational camps, agricultural migratory labor camps, public swimming pools body art establishments, cosmetology, and temporary food operations. Conduct pre and post construction inspections for new establishments and issues registration for cottage food operations.Â  Investigates public health nuisance complaints and referrals.Â  Provides access for the purchase of water test kits for private drinking water wells. Answers questions from the public regarding all program areas mentioned.Â ","This program performs health inspections, issues permits and complaint investigations of retail food establishments, (including restaurants), retail ice manufacturers, recreational camps, agricultural migratory labor camps, public swimming pools body art establishments, cosmetology, and temporary food operations. Conduct pre and post construction inspections for new establishments and issues registration for cottage food operations.Â  Investigates public health nuisance complaints and referrals.Â  Provides access for the purchase of water test kits for private drinking water wells. Answers questions from the public regarding all program areas mentioned.Â ",N/A,N/A,
