#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,", ",", ", CHILDREN OF THE NIGHT,N/A,14530 Sylvan StreetVan Nuys,Nuys,CA,91411,", ",N/A,http://www.childrenofthenight.org,DescriptionNon-profit organization dedicated to rescuing America's children from the ravages of prostitution. The Children of the Night home is open to child prostitutes throughout the United States and the Children of the Night hotline is ready and able to rescue these children 24 hours a day.,DescriptionNon-profit organization dedicated to rescuing America's children from the ravages of prostitution. The Children of the Night home is open to child prostitutes throughout the United States and the Children of the Night hotline is ready and able to rescue these children 24 hours a day.,,llee@childrenofthenight.org
California,", ",", ", Children to Love International,N/A,5558 California Ave,N/A,CA,93309,", ",N/A,http://www.childrentolove.com,Open to all ,"Description 	Program provides assistance in meeting the physical, mental, social, and spiritual needs of children living in Romanian and Southern Indian Orphanages. Through partnerships with Romanian and Southern Indian churches the agency is able to reach the orphanages and provide support. 	 	 ",John Penrose                  President1-661-588-9000,info@childrentolove.com
California,", ",", ", Children with Attention Deficit Disorder,800-233-4050,3101 North Sillect Avenue,N/A,CA,93308,", ",800-233-4050,http://www.chadd.net,Individuals from the ages of 5 years and older with a learning disability.  ,"DescriptionProgram provides a diagnostic assessment of school failure, clinical remediation and utilization of historic multi-sensory phonic spaced techniques, study skills along with speed reading programs and legal advocacy of case management for both children and adults with learning disabilities. ",Susan Graham                                      Local Coordinator                                 ,kern-county@chadd.net
California,"Special Education Assessment, , ","Special Education Assessment, , ", Children With Attention Deficit Disorder,661-328-9055 ext 222,3101 North Sillect Avenue ,N/A,CA,93308,"Special Education Assessment, , ",661-328-9055 ext 222,http://www.chadd.net,Adults and children from 5 and up  ,"Description 	Provides a diagnostic assessment of school failure, clinical remediation, utilization of historic multi-sensory phonic spaced techniques, study skills along,  and legal advocacy.",N/A,kern-county@chadd.net
California,"Mobile Dental Care, , ","Mobile Dental Care, , ", Childrens Dental Health Network,661-377-0322,1800 30th Street,N/A,CA,93301,"Mobile Dental Care, , ",661-377-0322,http://www.kccdhn.org,Children ages 0-5 years old.  ,"Description 	Provides mobile comprehensive dental services. Services include screening, preventative and restorative dental care and treatment.",Dr. Stacy Eastman                                 D.D.S.                                            ,N/A
California,", ",", ", Children's Hospital Central California,866-353-5437,9300 Valley Children's PlaceMadera,Madera,CA,93636,", ",866-353-5437,https://www.valleychildrens.org/,Children in need of health care. ,"Description 	Provides pediatric healthcare for emergencies, chronic diseases, and acute injuries for children. 	 ",Todd Suntrapak                      President & Chief Executive Officer                            ,contactus@childrenscentralcal.org
California,"Food Pantries, Prescription Drug Discount Cards, , ","Food Pantries, Prescription Drug Discount Cards, , ", Christ Cathedral Church,N/A,2301 White LaneBakersfield,Bakersfield,CA,93304,"Food Pantries, Prescription Drug Discount Cards, , ",N/A,http://www.capk.org,Open to the public. ,Description Program offers a food distribution site and prescription drug discount program.,N/A,N/A
California,"Food Pantries, , ","Food Pantries, , ", Christ First Ministries Inc,N/A,625 Robinson StreetBakersfield,Bakersfield,CA,93305,"Food Pantries, , ",N/A,http://capk.org,Open to the public.  ,DescriptionProvides a food distribution site.,N/A,info@capk.org
California,"Sober Living Homes, , ","Sober Living Homes, , ", Christian Mens Home,661-324-8615,624 Monterey StreetBakersfield,Bakersfield,CA,93305,"Sober Living Homes, , ",661-324-8615,https://www.bethanyministries1200.com,Only for males. Must Complete TB & HIV tests.  ,"Description 	Provides a sober living home for individuals trying to overcome substance abuse. 	 ",Ethel BartlettDirector661-633-1200,bethany1200@aol.com
California,", ",", ", Christian Men's Home,N/A,624 Monterey StreetBakersfield,Bakersfield,CA,93305,", ",N/A,N/A,Only for males. Must Complete TB & HIV tests.  ,"Description 	Program provides a sober living home for individuals trying to overcome substance abuse.	 ",Cindy Wade                                        Assistant Director                                ,bethany1200@aol.com
California,"Building Code Enforcement/Appeals, , ","Building Code Enforcement/Appeals, , ", City Code Enforcement ,N/A,1715 Chester AvenueBakersfield,Bakersfield,CA,93301,"Building Code Enforcement/Appeals, , ",N/A,http://www.ci.bakersfield.ca.us,"Residents living within the city limits who have issues concerning environmental hazards within their neighborhood. ","Description 	Provides assistance with filing complaints for property maintenance, housing, zoning, and junk and/or abandoned vehicle complaints for properties that are within the city.	 ",Randy Fidler                                      Chief Code Enforcement Officer                    ,BldCode@bakersfieldcity.us
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", City of Arvin,661-854-3134,200 Campus Drive,N/A,CA,93203,"City/County Planning Offices, , ",661-854-3134,http://www.arvin.org,Open to Arvin residents.  ,"DescriptionProvides local planning department, transportation department, and information of other programs for local residents.  ",N/A,cvela@arvin.org
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", City of Bakersfield,661-326-3094 ,1600 Truxtun AvenueBakersfield,Bakersfield,CA,93301,"City/County Planning Offices, , ",661-326-3094 ,http://www.bakersfieldcity.us,Open to Bakersfield Residents.  ,"Description	Provides local planning department, transportation department, and information of other programs for local residents. 	 ",N/A,AdmHrs@bakersfieldcity.us
California,"Medical and Health Sciences Research, , ","Medical and Health Sciences Research, , ", City of Hope,626-256-4673,1500 East Duarte RoadDuarte,Duarte,CA,91010,"Medical and Health Sciences Research, , ",626-256-4673,http://www.cityofhope.org,Open to all ,"Description 	Provides research and a treatment center for cancer, diabetes, and other life-threatening diseases.	 ",N/A,webmarketing@coh.org
California,", ",", ", City of Hope,01-626-218-9300,1500 East Duarte RoadDuarte,Duarte,CA,91010,", ",01-626-218-9300,http://www.cityofhope.org,Patients in need of information and/or care.  ,"Description 	Provides research and a treatment center for cancer, diabetes, and other life-threatening diseases.",Dr. Michael Friedman                              Chief Executive Officer                           ,mfriedman@coh.org
California,", ",", ", City of Maricopa,661-769-8195,400 California StreetMaricopa,Maricopa,CA,93252,", ",661-769-8195,http://www.cityofmaricopa.org/,Open to Maricopa residents.  ,"Description 	Provides a local planning department, transportation department, and information of other programs for local residents. 	 ",Laura Robinson                                    Interim City Administrator,LRobison_COM@bak.rr.com
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", City of Maricopa,661-769-8279,400 California StreetMaricopa,Maricopa,CA,93252,"City/County Planning Offices, , ",661-769-8279,http://www.cityofmaricopa.org/,Open to Maricopa residents.  ,"Description 	Provides local planning, transportation department, and information of other programs for local residents. 	 ",N/A,LRobison_COM@bak.rr.com
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", City of McFarland,661-792-3091,401 West Kern AvenueMc Farland,Farland,CA,93250,"City/County Planning Offices, , ",661-792-3091,http://www.mcfarlandcity.org,Open to McFarland residents.  ,"Description 	Provides a local planning department, transportation department, and information of other programs for local residents. 	 ",N/A,jwooner@mcfarlandcity.org
California,", ",", ", City of Tehachapi,661-332-5354,115 South Robinson StreetTehachapi,Tehachapi,CA,93561,", ",661-332-5354,http://www.tehachapicityhall.com,Open to Tehachapi residents.  ,"Description 	Provides a local planning department, transportation department, and information of other programs for local residents. 	 ",Greg Garrett                                      City Manager                                      ,info@tehachapicityhall.com
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", City of Tehachapi,661-822-2200,115 South Robinson StreetTehachapi,Tehachapi,CA,93561,"City/County Planning Offices, , ",661-822-2200,http://www.tehachapicityhall.com,Open to Tehachapi residents.  ,"Description 	Provides a local planning department, transportation department, and information of other programs for local residents. 	 ",Greg Garrett                                      City Manager                                      ,info@tehachapicityhall.com
California,", ",", ", COCAINE ANONYMOUS WORLD SERVICES OFFICE (CAWSO),N/A,21270 South Wilmington Avenue,N/A,CA,90810,", ",N/A,http://www.ca.org,DescriptionNonprofit organization helping recovering drug addicts stay clean.  Cocaine Anonymous is a fellowship or society of men and women for whom drugs have become a major problem.,DescriptionNonprofit organization helping recovering drug addicts stay clean.  Cocaine Anonymous is a fellowship or society of men and women for whom drugs have become a major problem.,,cawso@ca.org
California,"Abuse/Violence Related Support Groups, Addictions/Substance Use Disorder Support Groups, Bereavement Support Groups, Lifestyle/Transition Related Support Groups, Mental Health Related Support Groups, , ","Abuse/Violence Related Support Groups, Addictions/Substance Use Disorder Support Groups, Bereavement Support Groups, Lifestyle/Transition Related Support Groups, Mental Health Related Support Groups, , ", College Community Services - Hope Center,760-446-1597,1400 North Norma Street,N/A,CA,93555,"Abuse/Violence Related Support Groups, Addictions/Substance Use Disorder Support Groups, Bereavement Support Groups, Lifestyle/Transition Related Support Groups, Mental Health Related Support Groups, , ",760-446-1597,http://www.ccskern.com/home.html,Open to all  ,"DescriptionProvides a self-help for for addiction, anger management, and anxiety. Also provides peer support group and transportation. A reservation must be made by calling or placing your name on the transportation list.",Jim FreelandDirector,N/A
California,", ",", ", Columbus Family Dentistry,N/A,505 West Columbus StreetBakersfield,Bakersfield,CA,93301,", ",N/A,http://www.bakersfielddentaloffice.com,"Individuals 2 years and older. ","Description 	Provides general or cosmetic dentistry procedures for individuals over the age of two.   	 ",Mike Sagarian                                     Dentist                                           ,N/A
California,"Pediatric Dentistry, , ","Pediatric Dentistry, , ", Comfort Dental Family,N/A,2631 Fashion Plaza,N/A,CA,93306,"Pediatric Dentistry, , ",N/A,https://kernpublichealth.com/,Children from 1 year to 20 years old.   Teens Children Families ,Description  Provides general dentistry for children from 1 year to 20 years old.  ,N/A,publichealth@kerncounty.com
California,"Health/Disability Related Social Clubs, , ","Health/Disability Related Social Clubs, , ", Community Based Programs  for People with Disabilities,661-395-1361,2601 F StreetBakersfield,Bakersfield,CA,93301,"Health/Disability Related Social Clubs, , ",661-395-1361,http://www.napd-bak.org,Clients of Kern Regional Center. ,"Description 	Provides individual assistance and group activities such as: team sports, social/recreational opportunities, and community integration. Also provides independent living which assist with assisted living and medical appointments. 	 ",Susan Carpenter                                Director of Community Based Programs                       ,susan@napd-bak.org
California,", ",", ", Community Connection Family Resource Center- Delano,N/A,1842 Norwalk StreetDelano,Delano,CA,93215,", ",N/A,http://kern.org/,Open to all  ,"DescriptionProvides emergency food boxes once a month, utility and rental assistance (pending available funding). Also expecting mothers can receive assistance with case management, car seats (children 0-5),  parenting classes, home visitation, referral services, clothing, student readiness initiative classes, nutrition classes, and assistance with health insurance applications.",Mike Bledsoe                                      Program Coordinator                               ,jdecker@duesd.org
California,", ",", ", Community Connection for Child Care,661-861-5311,2000 K Street,N/A,CA,93301,", ",661-861-5311,http://kernchildcare.org,Individuals in need of child care. Children ,"Description	Provides subsidized child care, child care provider referrals, supports services trainings, classes for child care centers, and family child care providers.  	 ",Cheryl Nelson                          Director I661-861-5311,chnelson@kern.org
California,"Child Care Expense Assistance, Child Care Provider Referrals, , ","Child Care Expense Assistance, Child Care Provider Referrals, , ", Community Connection For Child Care - Bakersfield ,661-861-5200,2000 K Street,N/A,CA,93301,"Child Care Expense Assistance, Child Care Provider Referrals, , ",661-861-5200,http://kernchildcare.org,Families Families ,"Description 	Provides subsidized child care, child care provider referrals, supports services trainings, classes for child care centers, and family child care providers. 	 ",N/A,saortiz@kern.org
California,"Child Care Expense Assistance, Child Care Provider Referrals, , ","Child Care Expense Assistance, Child Care Provider Referrals, , ", Community Connection For Child Care - Ridgecrest,760-499-5218,145 Ridgecrest Boulevard Ridgecrest,Ridgecrest,CA,93555,"Child Care Expense Assistance, Child Care Provider Referrals, , ",760-499-5218,http://kern.org/cccc/our-locations/,Families Families ,"Description  Provides subsidized child care, child care provider referrals, supports services trainings, classes for child care centers, and family child care providers. 	 ",N/A,saortiz@kern.org
California,"General Counseling Services, , ","General Counseling Services, , ", Community Counseling And Psychological Services,661-326-8167,4900 California Avenue,N/A,CA,93309,"General Counseling Services, , ",661-326-8167,http://www.communitycounseling.net,Open to all  ,"Description 	Provides marriage counseling, drug rehabilitation, relapse prevention training, and ADHD assessment to individuals referred by Kern County Mental Health or Kern County Department of Human Services. 	 ","Dean Haddock, Psy.D.                              CEO                                               ",info@communitycounseling.net
California,", ",", ", Community Counseling and Psychological Services,N/A,4900 California Avenue,N/A,CA,93309,", ",N/A,http://www.communitycounseling.net,"Open to all  ","Description 	Provides marriage counseling, drug rehabilitation, relapse prevention training, and ADHD assessment to individuals referred by Kern County Mental Health or Kern County Department of Human Services.","Dean Haddock, Psy.D.                              CEO                                               ",info@communitycounseling.net
California,"Water Service Connection/Repair, , ","Water Service Connection/Repair, , ", Community Development,559-651-1000,8445 West Elowin CourtVisalia,Visalia,CA,93291,"Water Service Connection/Repair, , ",559-651-1000,http://www.selfhelpenterprises.org,Low income communities with water and sewer problems. ,"Description  	Provides assistance with seeking funding and technical assistance for communities developing water and wastewater systems. 	 ",Tom CollishawPresident/ CEO(559)802-1620,info@selfhelpenterprises.org
California,"Affordable Care Act Insurance Information/Counseling, State/Local Health Insurance Programs, , ","Affordable Care Act Insurance Information/Counseling, State/Local Health Insurance Programs, , ", Community Health Initiative of Kern County,661-632-5018,2215 Truxtun AvenueBakersfield,Bakersfield,CA,93301,"Affordable Care Act Insurance Information/Counseling, State/Local Health Insurance Programs, , ",661-632-5018,http://www.coveredkerncounty.org/,Open to all individuals with no insurance ,"Description 	Provides uninsured individuals access to comprehensive health insurance.	 ",Edgar Gonzalez                                  Program Manager ,rodrigo.vazquez@dignityhealth.org
California,"At Risk/Homeless Housing Related Assistance Programs, Specialized State Courts, Homeless People, Legal Services, Housing Discrimination Assistance, Housing Issues, , ","At Risk/Homeless Housing Related Assistance Programs, Specialized State Courts, Homeless People, Legal Services, Housing Discrimination Assistance, Housing Issues, , ", Community Homeless Law Center Project,661-325-5943,615 California Avenue,N/A,CA,93304,"At Risk/Homeless Housing Related Assistance Programs, Specialized State Courts, Homeless People, Legal Services, Housing Discrimination Assistance, Housing Issues, , ",661-325-5943,http://www.gbla.org,"Must live in Kern county, U.S. citizen, and must be homeless.  Homeless Court: reside in a residency program for 30 days or be enrolled in non-residency program for 45 days. Must be sponsored by an organization, in a self-help program, case managed and homeless. Referred by case manager.  ","DescriptionProvides legal assistance with issues such as; housing discrimination, public benefits, Social Security benefits, domestic violence, consumer issues, education, homeless court.*Does not assist with criminal law or custody issues* ",N/A,gbla@lightspeed.net
California,"Comprehensive Outpatient Substance Use Disorder Treatment, , ","Comprehensive Outpatient Substance Use Disorder Treatment, , ", Community Service Organization,661-327-9376,1124 Baker StreetBakersfield,Bakersfield,CA,93305,"Comprehensive Outpatient Substance Use Disorder Treatment, , ",661-327-9376,http://bakersfielddrugrehabs.com/community-service-organization-cso,Open to individuals with substance abuse issues.  ,"Description 	Provides treatment for drug addiction or alcoholism.  Also uses various treatment methods such as therapy and education for individuals that are rehabilitated.",N/A,mhservices1570@aol.com
California,", ",", ", Community Service Organization,N/A,1520 Niles StreetBakersfield,Bakersfield,CA,93305,", ",N/A,http://kern.networkofcare.org,Open to individuals with substance abuse issues.  ,Description  Provides treatment for drug addiction or alcoholism.  Also uses various treatment methods such as therapy and education for individuals that are rehabilitated.,Tom Valenzuela                                    Executive Director                                ,mhservices1570@aol.com
